Estimate,s.e.
sA1,0.737590646748,0
sA2,0.951512402057,0
sA3,0.762647312495,0
sA4,0.619958739483,0
sA5,0.550297705415,0
sA6,0.500406709573,0
sA8,0.649291341688,0
sA9,0.722266976139,0
sA10,0.7318014279,0
sA11,0.73410173913,0
sA12,0.732773146154,0
sA13,0.801223637957,0
sA14,0.896878527664,0
sA15,0.68768355129,0
sA16,0.441951477175,0
sA17,0.971115628095,0
phiB1B2,0.323061458709,0
phiB1C1,0.0209770805757,0
phiB1D1,0.222552856455,0
phiB1E1,0.265110998695,0
psiA1,0.480942599131,0
psiA2,0.576360844207,0
sC1,0.0902459102085,0
sE1,0.627690338234,0
sE2,0.271662580188,0
sF1,0.284523615979,0
pA1,0.699845637176,0
pA2,0.493502947415,0
pA3,0.663271714045,0
pA4,0.576875279008,0
pA5,0.768263994046,0
pA6,0.699695974931,0
pA8,0.482464132658,0
pA9,0.469602538723,0
pA10,0.499148149221,0
pA12,0.702718946413,0
pA17b,0.809541855744,0
pA18a,1.99999989224,0
pA18b,1.99999989224,0
pA19a,0.623805008865,0
pA19b,0.889980308299,0
pB1a,0.449236900193,0
pB1b,0.671822263382,0
pB2,0.86289921321,0
pC1a,0.664403996565,0
pC1b,0.664403996565,0
pD1a,0.832415237319,0
pD1b,-0.492145421397,0
pE1a,0.565418663677,0
pE1b,0.708147700581,0
pE2,0.912966026341,0
pA16a,0.918288201296,0
pA16b,0.918288201296,0
sA18,0.818937885354,0
sA19,0.937372488305,0
pF1,-0.422135732447,0
pA15b,0.991543754022,0
