Estimate,s.e.
sA1,0.909474060526,0
sA2,0.833037531186,0
sA3,0.837962327598,0
sA4,0.794509900974,0
sA5,0.635645034603,0
sA6,0.910582128653,0
sA8,0.71329810329,0
sA9,0.976411413082,0
sA10,0.982651641755,0
sA11,0.970940838228,0
sA12,0.968727107743,0
sA13,0.791485004745,0
sA14,0.731420135254,0
sA15,2.24430162924,0
sA16,0.47704137558,0
sA17,0.786819702154,0
sA18,0.943131023784,0
sA19,1.05336119535,0
phiB1B2,0.170081762296,0
phiB1C1,0.0788269046481,0
phiB1D1,0.0358067539063,0
phiB1E1,0.280584300581,0
psiA1,0.479140912825,0
psiA2,0.314300699051,0
sE1,0.537888403212,0
sE2,0.769253928292,0
sF1,0.274514414026,0
pA1,1.26927697503,0
pA2,0.327034534254,0
pA3,0.78363501854,0
pA4,0.992823115038,0
pA6,0.876406260555,0
pA8,0.688971389727,0
pA9,0.618876235153,0
pA10,0.488065306172,0
pA12,0.872378329265,0
pA13,0.710604821288,0
pA15a,4.29357152707,0
pA15b,0.882625370979,0
pA16a,0.838632166579,0
pA16b,0.838632166579,0
pA17b,0.348203209109,0
pA19a,0.192551780158,0
pA19b,0.913477171129,0
pB1a,0.375511244121,0
pB1b,0.66228901755,0
pB2,1.55113640108,0
pC1a,1.99999971051,0
pC1b,1.99999971051,0
pD1a,0.969072480944,0
pD1b,-6.50956280803,0
pE1a,0.564260935474,0
pE1b,0.713215525203,0
pE2,1.54857779395,0
pF1,-6.32628421325,0
pA5,1.13486820044,0
sC1,-2.74983047486,0
